xuhao,id,title,author,abstract,keywords,perio,juanhao,issn,read_url,pdf_url,content,original_url
11,GJTA201901016,《民法总则》法人制度视野下民办高校分类管理存在的问题与解决机制研究,余中根,"与《民法总则》相比,《民办教育促进法》有关民办高校分类管理的规定存在着诸多问题,主要表现在:营利性民办高校与非营利性民办高校的制度区别规定不详细、没有规定营利性民办高校与非营利性民办高校的法律性质、民办高校章程相关规定不完善、民办高校办学许可证的法律效力规定不合理。可参考《民法总则》《公司法》等法律法规的规定,对营利性民办高校和非营利性民办高校进行更为合理的制度设计,规范社会力量兴办教育,促进民办高等教育的健康顺利发展。 ","民法总则;
                   法人制度;
                   民办高校;
                   分类管理;",高教探索,2019年01期,1673-9760,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=GJTA201901016&uid=,"http://kns.cnki.net/kns/download.aspx?filename=qZzKlpUd0cjb1gjamxGORNXVmFzVtx2VPtCcEFUcSh1ROF3K3lEczklaON1T6FjZ0JGMTVkdVhEV4NnViJDV0hDV3NGW692MDpFVGlEdxcXYRRFT2VlRMRmSYlWSJxmRCJEWzsUS2ZmcPRnWaJkdyEUZ3V0KQ50c&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=GJTA201901016
12,ZJSK201901003,改革开放四十年民办高等教育发展回顾、经验与前瞻,阙明坤 费坚 王慧英,"改革开放四十年,我国民办高等教育取得了历史性成就:政策导向由限制走向管扶并举;办学规模由弱小走向庞大;办学层次由低层走向高端;教育质量由粗劣走向提升。民办高等教育四十年改革发展积累了许多宝贵经验:党和政府的支持是民办高等教育发展的基本前提;法治建设是民办高等教育发展的重要保障;保护举办者合法权益是民办高等教育发展的持久动力。展望未来,民办高等教育将在建设教育强国进程中大有作为;内涵式发展将成为提升民办高等教育实力的内生力量;分类管理制度下民办高等教育的公益属性将更加凸显;全球化和信息化将助推民办高等教育发展方式变革。 ","改革开放;
                   民办高等教育;
                   发展回顾;
                   基本经验;
                   未来前瞻;",高校教育管理,2019年01期,1673-8381,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=ZJSK201901003&uid=,"http://kns.cnki.net/kns/download.aspx?filename=jN0MXNnWhZ3cM90VpZXaGJDVZZFe0s0TMNDUyoWO5kzQplTR4BTVsBVcop1Q4JmN3ZVZaF2ZOtWb05kYMhFOvUVRa5kaqJEOShXO4h0Mv9yTopUQrU3NDpWQTZ2UY9ETmh1c1MjVZZVYkFmVhh0cxJHVKtUMOl0M&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=ZJSK201901003
13,JYJI201806010,民办教育分类管理如何制度化:基于新制度主义视角,李曼 王磊,"分类管理是民办教育发展的一项重要制度变革,中央层面积极推动加快顶层设计、地方政府通过""压力传导""和""激励诱导""方式加快配套政策的制定、民办学校举办者通过""策略性行动""争取自身利益。民办教育分类管理在制度化进程中陷入规则困境、组织困境与文化认知困境。破除民办教育分类管理制度化困境,需要促使分类管理与相关""制度丛""形成合力、整合强致性制度变迁和诱致性制度变迁、明确分类管理的价值理念和利益相关者的角色定位。 ","民办教育;
                   分类管理;
                   制度化;
                   新制度主义;",教育与经济,2018年06期,1003-4870,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=JYJI201806010&uid=,"http://kns.cnki.net/kns/download.aspx?filename=mNUWThDSCNjNTNmQCVlR2gUc4Z3Sr5WQJpnTZl3SwMUUXVjdLhnYZ12VKRWVqRFZYFTbBN2TRV0ZN9kVyhHODZlYXp2QBZ2ZxEkYj9mZW9kSxc3VF5WcvJFMqZXWQhVeulTWjdVW4YzSzgGN0NlawgEZ0AVcOlDZ&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=JYJI201806010
14,LNGD201812009,民办教育分类管理政策执行影响因素实证分析——基于陕西省的调查,袁利平 陈川南,"通过对陕西省民办教育分类管理调查问卷的多项Logistic回归分析发现:基于分类管理政策实行的分类前选择和分类后发展两个关键时间点,民办教育分类管理政策执行的影响因素主要包括利益回报、自主权、政策扶持以及监管方式。为促进民办教育分类管理政策的顺利执行,要重点关注学校举办者意见,带动举办者积极主动参与改革;给予非营利民办学校办学自主权,保护民办学校发展动力;加强营利性民办学校政策支持,推动民办学校创新驱动发展;重视民办教育分类监管,发挥各自优势以释放潜能活力。 ","民办教育;
                   分类管理;
                   政策执行;
                   影响因素;",现代教育管理,2018年12期,1674-5485,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=LNGD201812009&uid=,"http://kns.cnki.net/kns/download.aspx?filename=1AVaLl1KKdEcJRzNMljeDZGdKpVa24WW4NlZIN3apVWaXB3QlZkVrlWYZtEV3NUejB3NGRUevJXYSdUe6dWWvokayN0RpREc242Z4FXdhtmbhRWRJFnSk9GVyQHeDNjd0hXTDRUUnd2d0tiQrhXTwE2ZXRWRJdHZ&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=LNGD201812009
15,LNGD201812022,美国非营利性私立学校资助政策的价值取向与实践启示,刘莉莉 孔曼,"完善非营利性民办学校的资助与监管政策属于当前民办教育分类管理中的一种关键措施。美国非营利性私立学校的资助政策在实践中不断趋于完善,体现了关注学生需求、注重资助标准的科学性、关注权力分配问题三大价值取向,并致力于构建公私教育平等、以平衡政府与私立学校的权责关系为治理重点、趋于完善的分类资助体系。基于美国经验,我国当前非营利性民办教育资助政策的完善,首先应以保障学生权益为价值导向,促使资助对象向学生转移;其次应以职权划分为切入点,释放民办学校办学自主权;再次应引入第三方评估,构建合理的质量保障和认证机制。 ","非营利性;
                   私立学校;
                   资助政策;
                   价值取向;",现代教育管理,2018年12期,1674-5485,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=LNGD201812022&uid=,"http://kns.cnki.net/kns/download.aspx?filename=EZGSv8SM2h1LzVGeop2d2llVCRkTj5WOO5EdrkDWyIUe2xGRQh2c242ZxImbQBVN2RUREBFesp2THJ0UQJFbvYnR1hleJdUVlJ2V4IEZCdFS5skZydnVVd1bl1ES2c1NW90ZqtEOxMVcv4EMzcXMUlmYwomQlZ1Q&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=LNGD201812022
16,CBFX201812022,民办高校图书馆选择馆配商的基本策略探讨,章志玲,"馆配商在民办高校的图书市场方面发挥着不可或缺的作用,能够有效弥补民办高校图书馆自身存在的问题;民办高校图书馆选择合格的民营馆配商是重中之重,选择策略是关键,需要严格把关,以满足民办高校图书馆事业发展的内在需求。 ","民办高校;
                   图书馆;
                   馆配商;
                   选择策略;",出版发行研究,2018年12期,1001-9316,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=CBFX201812022&uid=,"http://kns.cnki.net/kns/download.aspx?filename=KV3Krdne2pHe5lTMS1md3pHU3NFZXl1U3xEThFWNmFkVwkGd3JDVwR3TxoUMDpkR0QXRTZEap1UVzF1ctZWMhFzUWlDRTBVTv9EVxh2QB1mUmJ3aXRWYsRVdvInTMhnb4EDaHlncudUZXV1T5I3QP9GZXJnQX9kd&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=CBFX201812022
17,JYLL201834007,山西省吕梁市民办义务教育存在的问题与对策——基于政府层面的思考,梁淑荣 宋新莲,"2002年以来,山西省吕梁市民办义务教育得到了长足发展,对吕梁义务教育发展起到了一定的推动作用,但是,政策供给与现实需求不适、实践上""治理""和""促进""之间张力不足以及实行和公办义务教育""同一性""的招生政策等原因,导致山西省吕梁市民办义务教育区域布局比例不协调、在教育总量中的占比不合理以及作用发挥不充分等问题产生。政府可以在以往对民办义务教育支持的基础上,采取强化共赢发展理念、确保""治理""和""促进""的均衡、对民办义务教育招生政策松绑等措施,通过优化政策环境来促使民办义务教育的发展水平整体提升。 ","山西省吕梁市;
                   民办义务教育;
                   共赢发展;
                   “治理”和“促进”均衡;
                   招生政策;",教育理论与实践,2018年34期,1004-633X,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=JYLL201834007&uid=,"http://kns.cnki.net/kns/download.aspx?filename=I1kTxJEcO50Y2hTePZHZypHVhN3ZhdleWJ1S3Mna25GM5B1aLdGRwAjWlZ3VZhXd5x2Z0NWSlJEcHV2caBHUNB1QQNWOSh1dDV0YGZTTB9UdRV1cSRVavZXSWFzSMdXQyQzdidXb2YEdRNWa0dUc3gmQRFEMaBFT&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=JYLL201834007
18,SHGJ201823008,落实新法新政:地方民办教育配套制度该如何抉择——以地方配套制度与新法新政衔接为视角,谢锡美,"地方配套制度,是保障新法新政落实、保证民办学校分类管理制度顺利推进的关键。然而,从目前颁布实施的各省市配套制度来看,对新法新政中分类管理制度的核心问题,规定的还不是很明确而且表述比较模糊,与保障新法新政的真正落实还有较大落差。为此,各省级地方政府,应当抓住《民办教育促进实施条例》修订这一契机,充分发挥国家赋予地方政府政策创新的空间,对涉及新法新政落实的核心问题,推陈出新,妥善安排存量民办学校过渡转设期各项制度、营造营利性民办学校发展的良好环境、完善非营利性民办学校财务监管制度,实现地方配套与国家新法新政的高度衔接,保证新法新政的""硬着陆""。 ","新法新政;
                   民办教育地方配套制度;
                   衔接;",教育发展研究,2018年23期,1008-3855,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=SHGJ201823008&uid=,"http://kns.cnki.net/kns/download.aspx?filename=FJnR1hlRF9UcyMlaPx2YjxEdFhGMPNzMrN0UK5UNrgXZD5kTuhVc6d2Vo5WOilTTs1WeC92YkdESvdkWKRlVClmUWNGWLNHZxUkN6h0NHZWdXRFV48CSwFVNDV0L3ZXSTtCTWNHdrh2VIZFNmlVRh5GbOtUe1o0c&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=SHGJ201823008
19,SHGJ201823002,科研工作:民办高校内涵式发展的抓手,金劲彪,"<正>党的十九大报告中明确提出,要""加快一流大学和一流学科建设,实现高等教育内涵式发展。""目前,全国民办高校共有747所(含独立学院),在校生已达628万人,规模庞大,顺应形势走内涵式发展之路,这是时代的要求。高等教育内涵式发展对民办高校来说,到底什么是主要的抓手?笔者认为,实现民办高校的内涵式发展必须大力加强科研工作。北京师范大学与清华大学教育研究所对2364门大学课程、2291位教师进行科研成果与教学效果的评估分析。结果显示:教 ",,教育发展研究,2018年23期,1008-3855,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=SHGJ201823002&uid=,"http://kns.cnki.net/kns/download.aspx?filename=kVWMXV2aIhUdvQ0NXZkZiZXTXVVbHdnRYVTSKNHWrVzKZt0RJFVR3l0U5NXYnRDO4ZzaFN0R5NkRGRkaKlndtVmVR5UUqZ2c09iMOFGaGNjUTdlbrt0KiZlTEFEUUlmM5F2VylUOwZUbrNERXBzbmRXRSJVZyUmc&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=SHGJ201823002
20,SHGJ201823006,民办高校如何实现“非营利性”——以防范非公平关联方交易保证“非营利性”的制度设计,李立国 鞠光宇 王春雩,"""出资人控制""的模式强化了民办高校的营利性色彩,为民办高校的非公平关联方交易提供了组织条件。非公平关联方交易是民办高校转移利润的重要手段,损害了国家公共利益、学校利益和学生利益。防范非营利性民办高校非公平关联方交易的主要举措有:完善民办高校的财务制度,建立防止非公平交易的程序和制度,强制信息披露,创新办学模式,建立监管体系等。 ","民办高校;
                   非营利性;
                   非公平关联方交易;",教育发展研究,2018年23期,1008-3855,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=SHGJ201823006&uid=,"http://kns.cnki.net/kns/download.aspx?filename=1ZmZ4tST0ETcNRUa2gGa10EW2xUaPJmdmF2VxIXVkpGUJp3ZNdHOTtGTZRVOaFzTBRVVNR1daV0YERmWox2ayknVmF3U3N0K1cFRtZFcPRjQYZUTnZkdwcVYzZUek9EVQFjVlN1YwFVc2tkbQhFOiN1TI9iYTlme&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=SHGJ201823006
21,SHGJ201823007,基于复杂性范式的非营利性民办高校风险治理,费坚 李斯明 魏训鹏,"民办教育分类改革实施以来,我国非营利性民办高校""教育风险""日益突出,风险治理成为民办教育改革的重要内容。当前,民办教育风险治理碎片化、低效率现象严重,现有的风险治理方式不能适应新形势下民办教育风险治理的要求。民办教育的风险形态是一个具有内外生环境、多风险形态的复杂系统,复杂性是民办教育风险构成的根本原因,非营利性民办高等教育风险治理离不开复杂性范式下的协同参与。系统研究非营利性民办高等教育风险形成的复杂性机制,构建风险治理的本体论机制,形成认识和化解风险的协同治理方法论,在理论和实践上具有重要价值。 ","非营利性;
                   民办高校;
                   风险治理;
                   复杂性范式;
                   协同机制;",教育发展研究,2018年23期,1008-3855,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=SHGJ201823007&uid=,"http://kns.cnki.net/kns/download.aspx?filename=jFHTKNTa4FTRSNWbrl0M2VHTChUdxpVYYVTMr1kWolkRvQ3TYlUSnVVZL52LRh3LtZnQMFld39kdNl0dWJkZlxmU19WOTVVa51EelJkc4cDN0gUSn1UT2R1UvVTcN1WQLFlZ2FlRnBDeYt0N4F1MIxWTzg3ZRBDV&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=SHGJ201823007
