xuhao,id,title,author,abstract,keywords,perio,juanhao,issn,read_url,pdf_url,content,original_url
11,HDLS201701009,当代大学生宗教观实证研究——基于大连地区八所高校的调查分析,韩轶 戴艳军 张远航 侯达森,"基于大连地区八所高校大学生宗教观的问卷调查,从宗教认知、宗教情感、宗教意愿三个维度分析了大学生宗教观的现状。调查表明:当代大学生总体上能够树立科学的宗教观,但也存在相当程度上的模糊错误认识。大学生宗教观具有同质性,具体表现在有一定的宗教认知但不够深入,宗教情感的倾向性不强,宗教意愿比较单纯。大学生宗教观具有差异性,具体表现在不同地域、民族、家庭经济状况、家庭出身、学科背景、学历的大学生宗教观具有显著差异。加强大学生马克思主义宗教观教育、加强少数民族大学生宗教情感疏导、加强对大学生进行党的现行宗教政策和法规教育是做好大学生宗教观教育的关键。 ","大学生;
                   宗教观;
                   实证;",华东理工大学学报(社会科学版),2017年01期,1008-7672,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=HDLS201701009&uid=,"http://kns.cnki.net/kns/download.aspx?filename=LtyTOlleXhTeNNkSxpkUaJ0ZX9kTuFHRyNXSxxmVtl1aQV2LSx0T1ZjY2xWRORkRadkaRBFdz90Y012VvUEeOtWctlWR3FFUSdHaVNDa0YmNXtUQzQzblJDM5dGZaNDWJB3RolzRNFTZ0RVaM5kQWpFdRZ0TrxGW&tablename=CJFDLAST2017&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=HDLS201701009
12,ZJYX2016S2144,小学应该增设礼仪课,黄艳,"<正>知书达礼,待人以礼,应当是当代学生的一个基本素养。学校进行社交礼仪教育,不仅是素质教育的必需,而且也是社会文明进步的强烈要求。首先,教学生会打招呼。现如今的北京城,南腔北调的人们聚到一起,虽然习俗不同,但是有礼貌是要做到的。不同年龄段的称呼,怎么说话,都是该学的。在低年级语文课堂上,教师可以教给学生什么样的人怎么称呼,见面怎么寒暄,并且要实际演示,这样才能让学生记忆深刻。 ",,中国教育学刊,2016年S2期,1002-4808,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=ZJYX2016S2144&uid=,"http://kns.cnki.net/kns/download.aspx?filename=0VVdYFGUydlQh9UYVhGWY9ETWdES0JFZZ1UMhBVOUFjczpEbINnWv4Ga2xWZOFkT4NHdSl0Rw9WSFdFZyRWNDFzcDZkQ0Z2MMJ0L4FWR6R1ZrNTMpFXW3dGUxoGV18mR1skaOJ3R5ZjYll1LXpWWGFDTtVXSVdUZ&tablename=CJFDLAST2017&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=ZJYX2016S2144
13,JTGY201606009,高等教育顾客感知价值,张鹏 李刚 吕立杰,"就顾客预期价值而言,在学生没有进入高校学习之前,大部分学生会基于对学校的了解和对专业的认识,对自己在读书期间、毕业以后的可能获得进行心理上的评估和分析并最终结合自己的目标和需求形成预期价值。只有当学生认为自己的预期回报高于付出,学生才会支付学费、接受教育。顾客预期价值在时间上是先于顾客感知价值而存在的,它具有极强的不确定性和不准确性。学生所感知到的利益是基于高等教育的功能价值、结果价值、情感价值和发展价值。学生的感知价值具有如下特点:第一,极强的主观性。不同学生对于同一教学活动或教学行为的价值感知存在差异,而这种差异实际上取决于学生对其意义的表征。第二,学生的感知价值是变化、发展的。同一学生在不同阶段的感知价值存在差异。学生的感知价值是一个变化的连续过程,具有动态性和长期性。第三,层次性。学生感知高校的基础是学校的外部环境及内在质量,但由此产生的感知价值具有多样性和差异性。学生感知价值的层次性特点为高校提出了难题。 ","顾客感知价值;
                   高等教育;
                   教育价值;
                   教育服务;",高教发展与评估,2016年06期,1672-8742,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=JTGY201606009&uid=,"http://kns.cnki.net/kns/download.aspx?filename=CZmWFh1cyhVUiRTQulUdwVGewJHZxQ1YBJHUxdzTXRDWHFFUpVzcZdmSSFVVXhzVllkazMWRsd2d0F1d1cTY6NVYtJWeZFVaSJlWmVUbYlHVnRGTItGdxYVW0N2RCxUUvknTnBVb0gjbzF3T2JVe4lVYX10QMR0S&tablename=CJFDLAST2017&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=JTGY201606009
14,KANG201603004,“自治”与“训导”:20世纪40年代浙大校园中的《生活壁报》与壁报风潮,何方昱,"《生活壁报》由浙江大学学生自治会创办于1939年,在浙大第二任训导长费巩的支持下,成为""左倾""学生表达诉求的喉舌,由此引发校内纷争,更进一步引起教育部的不满。双重迫力之下,校长竺可桢要求训导处着力整顿壁报,并最终于1945年6月制定了壁报管理办法。但在国共内战的时局之下,浙大的壁报管理制度终成一纸空文,对于战后学潮毫无约束力。《生活壁报》及其引发的数次风潮,凸显浙大学生自治会权力的日渐扩张,学生自治会成为与校务委员会对峙的另一隐形权力机构,对训导处的威信与合法性构成挑战。20世纪40年代末,学生自治会与训导处的抗衡,不仅是浙大校方无力控制学潮与学生的重要表征,还彰显中央执政当局对于国立大学管理的无序与失控。一定程度上,自治与训导双方权势的转移也预示了中国政治格局的走向。 ","《生活壁报》;
                   学生自治会;
                   训导处;
                   竺可桢;
                   浙江大学;",抗日战争研究,2016年03期,1002-9575,,"http://kns.cnki.net/kns/download.aspx?filename=3oXMhh0RzpWdBhmVvAFTDNlMzolcqNVVnNGZ0dWZ5EzShlWcJdnMRZ0TNJjSO9ET1ske1V3QGhGVyhmb0UFSSRVbpVFW5skQzImUMVDZtNmTmdHUro2YyEmUhpFRv80NV9SaRFWQBhEbzUnYsRlbhBTQaJTUlhEU&tablename=CJFDLAST2016&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=KANG201603004
15,AFSX201605018,从胡适留学期间的英文著述看其世界主义思想的形成,林晓雯,"胡适于1913年11月在《中国留美学生月报》上发表了题为《国际学生运动》的文章,该文是他参加当年的世界学生同盟会第8次国际大会的感言,阐发了他对于国际学生运动的认识以及中国留学生与这一运动的关系。这篇文章以及胡适留学期间发表的其他英文著述,对于我们理解胡适由""民族主义""到""世界主义""的思想转变过程提供了重要依据,也可以弥补1913年1月至9月由于胡适日记缺失而空白的一段社会活动记录,同时,这些英文著述也为胡适英文文存的收集和整理提供了新的内容。 ","胡适;
                   留学;
                   英文著述;
                   世界主义思想;
                   爱国情怀;",安徽史学,2016年05期,1005-605X,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=AFSX201605018&uid=,"http://kns.cnki.net/kns/download.aspx?filename=mlDayI0V1VUYwcHTYh2ZWdzYSZWVzkmdaZDMwFUczUTUBdVci9GVBVja3dkd6lVM5dERsZEWF52aStEVFNFR3Q0Q1MmTZhHSlxWMP5GaWFlVwoleTpmYyNkSrQje2Q1dap3UKlHVKRWbER3V1JEaod0bnlGV6FXc&tablename=CJFDLAST2016&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=AFSX201605018
16,JYKO201604003,学生权利在学校中的实现状况调查研究——基于赛亚·伯林两种自由观的分析框架,班建武 檀传宝,"现代公民理性权利意识的养成,需要良好的日常生活土壤。考察学生权利在学校生活中实现的实际状况对于因材施教、因地制宜开展公民权利意识的培育十分关键。本研究主要根据赛亚·柏林的两种自由观,将学生的权利区分消极权利和积极权利两种类型,分别从权利主体、权利内容和权利运行三个方面设计了针对中国内地中学生的调查问卷。从数据统计的结果来看,学生作为权利主体在面对学校权力的代表——德育处时,主要是一种消极负面的情绪情感体验,这实际上表明学生作为权利主体的消极权利并未得到学校的有效保护。作为消极权利代表的学生隐私权和个性发展权都不同程度地受到学校权力的损害。而在以关心和参与班级事务为代表的积极权利的实现上,学生自觉追求的主动性并不高。学生会作为学生权利运行的重要组织,实质上是受到学校权力的高度控制。研究认为,学生权利主体地位的缺位是都导致学生权利在学校中得不到有效落实的根本原因,应试教育则成为直接影响学生权利实现程度的重要因素,而由于学校权利意识教育的不足所导致的学生权利意识的缺乏则是制约学生主动追求自我权利实现的内在观念障碍。破除这些困境的必由之路是建立一个更加民主、法制的现代公民社会。 ","消极权利;
                   积极权利;
                   应试教育;
                   人治;",教育科学,2016年04期,1002-8064,,"http://kns.cnki.net/kns/download.aspx?filename=xwWenBHdutWSOVmTHhXa152ZNdTMvVzT4U2UqlWblhVR5l0M35ERFtSbp50RwkmUXF0TnZ3RDFlcDpFd6JXb5FXUp5Ebl9WQV52VpR2MlVlTuNjS45Wc0VnSyUDdClDMPpHSnBjYPRmU3Rnc2EXZ610VUdFTaRXZ&tablename=CJFDLAST2016&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=JYKO201604003
17,HLJG201608050,应用型本科院校会计学专业实践教学研究,段洪成,"文章结合哈尔滨金融学院多年会计实验教学的教学改革实践,从会计实践教学的现状、内容的改革、方法、实践教学的考核以及如何与""互联网+""相结合等多方面探讨提升应用型本科院校会计学专业实践教学水平的措施,以期为培养应用型会计人才以及提升会计实践教学水平与教学质量提供新的思路。 ","应用型本科院校;
                   会计学专业;
                   实践教学;
                   教学改革;",黑龙江高教研究,2016年08期,1003-2614,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=HLJG201608050&uid=,"http://kns.cnki.net/kns/download.aspx?filename=t5WYwAVelJEe5YVNR5ENv8ERSVHRyp3aFV0RMdTcvlXd0Y1NRRFU5QFZldFcEFmeMdXV2R0UZhlc0lFej9GMQFzdwEGTnxWeGJEWv0kM1cUdId0MyZjWPdke4F3MVV0VZZVVWZFRxwWQZNXcKREVwsmeHx2NVRVM&tablename=CJFDLAST2016&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=HLJG201608050
18,BJJY201607012,大数据时代美国高校管理改革创新,胡乐乐,"当前,美国许多高校正在主动利用功能强大的大数据,主要开展三种重要的管理改革创新:预测哪些学生有可能入其校上学;预测哪些学生会学业挣扎或失败,并给他们提供建议和帮助,从而提高保留率和毕业率;为高校自身政策与战略决策提供支持。 ","大数据;
                   美国;
                   高校管理;
                   改革创新;",比较教育研究,2016年07期,1003-7667,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=BJJY201607012&uid=,"http://kns.cnki.net/kns/download.aspx?filename=hZVNOR1cwl2a3EnS4UXY1N1NvpVOGlVQyIENzZ3NkpVbSRkah1kTCJmM3gkaNNHcwITTvBVbZRWUUJUZQFESjpGSjRWanpEbrE0NjFTZq52KaFkcSBVNJR2Zw1mclZnV4JzcaxUU6BjVIFDSGZDO1YWOPl2TmZnc&tablename=CJFDLAST2016&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=BJJY201607012
19,FBSF201606026,组织建设与多元整合:高校学生自我管理的路径分析,杨少波,"社会转型与市场化导致了大学生群体的内部分化以及大学生社会认知的多元化,这对当前的高校学生管理机制带来了挑战。当前高校学生管理与校园秩序维系面临的一个困境就是大学生群体内部的分化,分化了的大学生因其社会认知和行为模式的差异给高校的管理以及校园秩序的维系带来了难度,通过培养和发展学生情感性组织,依托这一组织进行学生的自我管理和自我约束,则可能较好地实现大学生群体的整合。在实现高校自我管理的过程中仅仅依靠情感性组织是不够的,还必须依赖纪律组织。就高校中的学生自我管理而言,纪律组织的主要载体是学生会组织。以规模较小的行政管理队伍如何应对规模庞大且分化严重的大学生群体则是当下高校治理的""规模——结构之困"",而通过多元化的学生自组织进行学生的自我管理则是一种有效且低成本治理的方式。 ","社会分化;
                   自我管理;
                   情感组织;
                   纪律组织;
                   简约治理;",湖北社会科学,2016年06期,1003-8477,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=FBSF201606026&uid=,"http://kns.cnki.net/kns/download.aspx?filename=wgWVtdHS5RVdlRGRodGMQplMKVTWwA3Rr8WMMlDZiFFW1pXavJFZqtCOwYDNShnash0K3UUZXdEWFhURTJ2LnVkMr8CN0ZlRMJXNCZjeDJWe38kcWBDMZxGWSJWNUlUeSBzLZllTn5Wdhp1RGBTOSp2QM1mYHZ1Y&tablename=CJFDLAST2016&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=FBSF201606026
20,GJXZ201605003,对高等教育专业教育理念的思考,康凯,"在创意创新创业教育成为我国高等教育改革和人才培养的主旋律,以及""知识沉化"",专业性教育层级被推高等大背景下,""专业教学""应提升为""专业教育"",新的专业教育理念是:在""三基""的基础上,培养学生""会思考、能实战、不作弊、善合作"",以此提高专业教育质量,提高学生的竞争力。 ","高等教育;
                   专业教育;
                   教育理念;",国家教育行政学院学报,2016年05期,1672-4038,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=GJXZ201605003&uid=,"http://kns.cnki.net/kns/download.aspx?filename=6JzdJdkWytkbP1kWBVzViJneEdzK0Q0cF1kRtNnMRNzb4QkVlZ0bw1GUOFXNppGMrBTehZ2R1RXSLpHaatCNXdmaDBFOpRmMSJkUxETbPh3Kkh1cFF3UpljcCBnWBJ2QXV1Kx5UQOhFUXNkYXJGRrIWNLplYmNmM&tablename=CJFDLAST2016&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=GJXZ201605003
21,ZJYX201605027,积极构建学生乐学的生态课堂,范喜春,"<正>教师始终要做一个耐心的倾听者。构建乐学课堂就必须充分发挥学生的主观能动性,让他们充分发表自己的个性化观点,远离封闭的室内教学和""填鸭式教学""。例如,讲解古老的伊索寓言故事""狐狸与乌鸦""时,教师可以提问:你们喜欢狐狸吗?大部分学生会特别肯定地回答:不喜欢。但也有学生会小声嘀咕:我喜欢。这时,如果让这种持不同观点的学生发表自己的观点,他们往往会说:狐狸不仅长得很漂亮,而且很聪明,也会说很多好听的话……这种个性化的观点能够 ",,中国教育学刊,2016年05期,1002-4808,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=ZJYX201605027&uid=,"http://kns.cnki.net/kns/download.aspx?filename=iZTeuBnRLFDUzdjQqFzKsJnYwEGNTlFMvc3KMhETnNjMTFEOuJ1dRN0KyIHRPpndzoHO402bNBVb0ZWeyhTZwFjVTtWWVNEM1ZVY0p3ZhJUMH9kZ50kUTFnTS1kZuVWY4U3Qn90KDhjawVVYHFlZn9EW6NXWWh2K&tablename=CJFDLAST2016&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=ZJYX201605027
